"datetime","main.aqi","components.co","components.no","components.no2","components.o3","components.so2","components.pm2_5","components.pm10","components.nh3","coord.lon","coord.lat","extraction_date_time","city_name"
"2025-01-01 00:04:20+08:00",1.0,236.99,0.0,2.01,26.82,0.32,1.85,2.24,0.77,124.5725,11.1089,"2025-01-01 00:04:20.814310+08:00","Valencia"
"2025-01-01 00:04:23+08:00",2.0,947.95,0.98,31.87,3.35,9.78,23.52,41.24,7.66,120.9667,14.7,"2025-01-01 00:04:23.110250+08:00","Valenzuela"
"2025-01-01 00:04:24+08:00",1.0,205.28,0.0,0.71,40.41,0.75,2.56,2.98,0.19,123.0778,10.9,"2025-01-01 00:04:24.964709+08:00","Victorias"
"2025-01-01 00:04:27+08:00",1.0,307.08,0.0,1.95,55.08,0.45,5.59,6.73,1.22,120.3869,17.5747,"2025-01-01 00:04:27.312719+08:00","Vigan"
"2025-01-01 00:04:28+08:00",2.0,627.52,0.0,28.79,17.7,5.48,12.51,13.35,10.26,122.0696,6.9135,"2025-01-01 00:04:28.965323+08:00","Zamboanga City"
"2025-01-01 02:00:00+08:00",2.0,373.84,0.0,4.16,55.79,3.07,12.88,15.0,2.41,119.9811,16.1561,"2025-01-01 02:00:00.990354+08:00","Alaminos"
"2025-01-01 02:00:02+08:00",2.0,547.41,0.04,10.97,13.41,2.12,14.56,18.51,4.24,120.5833,15.15,"2025-01-01 02:00:03.147023+08:00","Angeles City"
"2025-01-01 02:00:05+08:00",1.0,340.46,0.0,2.38,34.69,0.37,5.84,6.76,1.63,121.19,15.6181,"2025-01-01 02:00:05.650412+08:00","Antipolo"
"2025-01-01 02:00:07+08:00",1.0,206.95,0.0,1.24,36.12,2.41,3.22,3.44,0.27,123.5085,12.2285,"2025-01-01 02:00:07.567075+08:00","Bacolod"
"2025-01-01 02:00:10+08:00",3.0,1482.01,10.39,48.67,0.01,22.89,42.24,63.45,7.22,120.929,14.459,"2025-01-01 02:00:10.141130+08:00","Bacoor"
"2025-01-01 02:00:12+08:00",1.0,250.34,0.0,2.53,32.9,1.13,3.55,4.36,0.78,122.8333,10.5333,"2025-01-01 02:00:12.639971+08:00","Bago City"
"2025-01-01 02:00:14+08:00",2.0,453.95,0.06,6.94,8.05,1.64,12.62,15.36,2.6,120.5931,16.4164,"2025-01-01 02:00:14.943636+08:00","Baguio"
